Sample,Herbarium,Collection Year,State,County,Locality,Description,Nat/Ag/Dist,Male/Female,Lat,Long,Catalog #,FinalCov,FragLength
HB0900,INHS,1876,Illinois,Oquawka,NA,Banks of the Mississippi,Nat,Female,40.900098,-90.991298,1,13.3905,78
HB0901,INHS,1870,Illinois,Kankakee,NA,Wet Banks,Nat,Male,41.154318,-87.919365,2,13.7353,86
HB0902,INHS,1875,Illinois,Oquawka,NA,Banks of the Mississippi,Nat,Male,40.900098,-90.991298,3,13.0334,80
HB0903,INHS,1897,Illinois,Warrenvlle,NA,Mudflats,Nat,Female,41.823199,-88.174393,6,11.1796,110
HB0904,INHS,1892,Illinois,Chicago,NA,"Waste Ground (""Exposition Building"")",Dist,Female,41.779452,-87.61641,7 (429),11.0828,83
HB0907,INHS,1897,Illinois,Chicago,NA,"Dumping ground, Brighton Park",Dist,Male,41.818787,-87.706608,10,11.3536,71
HB0908,INHS,1952,Illinois,"Fithian, Vermilion County",Vermilion County,Along railroad,Dist,Male,40.114645,-87.875056,11 (56279),11.9594,78
HB0909,INHS,1946,Illinois,"Gardenplain, Whiteside County",Whiteside County,"Peat soil in potato fied, ""L.C. Anderson Farm""",Ag,Female,41.782572,-90.138152,12 (19934),14.3739,99
HB0910,INHS,1948,Illinois,"W of Antioch, Lake County",Lake County,Disturbed soil,Dist,Male,42.481444,-88.157622,13 (32479),13.6151,85
HB0911,INHS,1947,Illinois,"W of Gillespie, Macoupin County",Macoupin County,Corn field,Ag,Female,39.127901,-89.860508,14 (22536),11.8957,98
HB0912,INHS,2005,Illinois,"Minooka Rd & Route I-80, Minooka",Minooka,Disturbed moist cropland margin near sable creek,Ag,Male,41.457917,-88.308444,15 (242814),17.5327,129
HB0913,INHS,2000,Illinois,"Cooperstown, Brown County",Brown County,"Former marsh in partly filled obow, mostly used as corn fields",Ag,Male,39.959059,-90.611708,16 (205271),15.7711,128
HB0914,MBDH,1895,Ohio,Fulton Co.,Fayette,Cornfield along the new river improvement on the prairie,Ag,Male,41.67333333,-84.32694444,357,13.7539,85
HB0915,MBDH,1903,Ontario,Essex Co.,Little Chicken Island,NA,NA,NA,41.772246,-82.79184,265,9.26408,61
HB0916,MBDH,1955,Ohio,Greene Co.,Fairborn,Front lawn of Canups house,Dist,Female,39.82083333,-84.01944444,292,16.4581,103
HB0917,MBDH,1956,Ohio,Mercer Co.,Union Twp.,"Roadside, edge of soybean field",Ag,Female,40.67861111,-84.51861111,197,14.1186,90
