sample	env	sex	lat	long	year	state
342	Ag	F	40.55406597	-89.48221204	2019	Illinois
450	Nat	F	41.31732501	-86.746256	2019	Indiana
503	Ag	F	41.06360497	-83.78943597	2019	Ohio
556	Ag	NA	38.63920603	-91.51230698	2019	Missouri
4801	Ag	M	38.63920603	-91.51230698	2019	Missouri
4802	Ag	F	40.55406597	-89.48221204	2019	Illinois
4803	Nat	F	39.393248	-88.163216	2019	Illinois
4806	Nat	F	38.65643696	-90.73639403	2019	Missouri
4809	Nat	F	40.57469501	-89.65567603	2019	Illinois
4810	Nat	M	38.732444	-89.277403	2019	Illinois
4813	Nat	F	38.927036	-95.241462	2019	Kansas
4814	Ag	F	39.463458	-91.98047097	2019	Missouri
4819	Nat	M	40.87326997	-88.62446599	2019	Illinois
4820	Ag	M	40.17519498	-90.26269396	2019	Illinois
4821	Nat	F	38.66783702	-91.55559699	2019	Missouri
4822	Nat	M	38.732444	-89.277403	2019	Illinois
4826	Nat	M	38.699066	-90.068054	2019	Illinois
4828	Ag	M	38.988681	-95.215847	2019	Kansas
4830	Nat	F	39.46407096	-91.68243396	2019	Missouri
4832	Nat	M	41.15132703	-87.89857297	2019	Illinois
4841	Nat	M	40.87326997	-88.62446599	2019	Illinois
4846	Nat	M	38.927036	-95.241462	2019	Kansas
4850	Ag	F	41.06360497	-83.78943597	2019	Ohio
4854	Ag	F	39.305104	-88.139778	2019	Illinois
4860	Nat	M	40.57469501	-89.65567603	2019	Illinois
4861	Ag	F	39.305104	-88.139778	2019	Illinois
4862	Ag	F	38.782048	-95.171401	2019	Kansas
4866	Nat	F	38.699066	-90.068054	2019	Illinois
4869	Nat	F	39.001464	-95.239938	2019	Kansas
4873	Ag	F	41.16467102	-87.81988903	2019	Illinois
4875	Ag	F	41.37218297	-83.79889	2019	Ohio
4876	Nat	F	41.55656599	-83.66247503	2019	Ohio
4882	Nat	M	39.46407096	-91.68243396	2019	Missouri
4886	Ag	M	38.755485	-89.272475	2019	Illinois
4887	Ag	F	40.82949003	-88.66930699	2019	Illinois
4888	Nat	F	41.55656599	-83.66247503	2019	Ohio
4891	Nat	M	41.31732501	-86.746256	2019	Indiana
4895	Ag	F	38.782048	-95.171401	2019	Kansas
4899	Ag	M	38.755485	-89.272475	2019	Illinois
4902	Nat	M	38.66783702	-91.55559699	2019	Missouri
4907	Ag	F	39.305104	-88.139778	2019	Illinois
4909	Ag	M	41.16467102	-87.81988903	2019	Illinois
4912	Nat	F	39.393248	-88.163216	2019	Illinois
4917	Ag	M	41.37218297	-83.79889	2019	Ohio
