Sample,Homo,Het,Haploid.Cov,Error.Rate,Model.Fit,Genome.Size..b.,Genome.Size..Mb.,Label,Pop.x,Family,Env.x,Sex,Treatment,Sample.1,EPSPS_het,EPSPS_cov,EPSPS_copy,EPSPS_err,EPSPS_fit,EPSPS_length,scaling,EPSPS_scaledcov,EPSPS_scaledcopy,EPSPS_mapped_cov_mean,EPSPS_mapped_cov_var,Env.y,Pop.y,Lat,Long,Pair,plinkorder,sample2,Long,Lat
342,97.8,2.16,13.1,0.00424,0.939,562115666,562.115666,Allentown_Ag_124_F_So,Allentown,124,Ag,F,So,342,0.0139,53.2,4.061068702,0.00697,4.32,11098,1.1098,59.04136,4.506974046,4.216611,0.967375,Agricultural,Allentown,40.55406597,-89.48221204,12,128,342,-89.48221204,40.55406597
450,97.1,2.86,14.4,0.00322,0.724,538712096,538.712096,Knox_Nat_129_F_Co,Knox,129,Nat,F,Co,450,0.0264,14.9,1.034722222,0.00543,0.613,11252,1.1252,16.76548,1.164269444,1.076537,0.168312,Natural,Knox,41.31732501,-86.746256,15,110,450,-86.746256,41.31732501
503,97.3,2.72,13.3,0.00492,0.989,524468355,524.468355,Mccombe_Ag_4_F_Wa,Mccombe,4,Ag,F,Wa,503,1.00E-05,7.46,0.4721518987,0.00535,0.4,24359,2.4359,18.171814,1.15011481,1.179016,0.259149,Agricultural,Mccombe,41.06360497,-83.78943597,2,21,503,-83.78943597,41.06360497
556,97.6,2.39,16.5,0.00342,0.965,514089892,514.089892,Hernan_Ag_120_NA_Wa,Hernan,120,Ag,NA,Wa,556,0.0129,48.7,3.580882353,0.00626,1.77,10989,1.0989,53.51643,3.935031618,3.286214,0.458992,Agricultural,Hernan,38.63920603,-91.51230698,9,20,556,-91.51230698,38.63920603
4801,97.7,2.27,11.4,0.00286,0.794,535874656,535.874656,Hernan_Ag_86_M_Co,Hernan,86,Ag,M,Co,4801,0.00128,35.3,2.654135338,0.00658,0.958,11768,1.1768,41.54104,3.123386466,3.566278,0.5293,Agricultural,Hernan,38.63920603,-91.51230698,9,133,4801,-91.51230698,38.63920603
4802,97,2.95,13.3,0.00296,0.731,560942888,560.942888,Allentown_Ag_24_F_Wa,Allentown,24,Ag,F,Wa,4802,0.00159,43.7,2.648484848,0.00576,1.33,10974,1.0974,47.95638,2.906447273,3.35316,0.575802,Agricultural,Allentown,40.55406597,-89.48221204,12,80,4802,-89.48221204,40.55406597
4803,97.1,2.85,14.1,0.00307,0.754,533533114,533.533114,FoxRidge_Nat_199_F_Wa,FoxRidge,199,Nat,F,Wa,4803,0.0239,14.6,1.280701754,0.004,0.671,12257,1.2257,17.89522,1.56975614,1.164527,0.243804,Natural,FoxRidge,39.393248,-88.163216,4,83,4803,-88.163216,39.393248
4806,97.3,2.69,12.8,0.00262,0.722,528787074,528.787074,WeldonSprings_Nat_15_F_Co,WeldonSprings,15,Nat,F,Co,4806,0.1,23.6,1.77443609,0.0173,0.584,5075,0.5075,11.977,0.9005263158,1.116444,0.106826,Natural,WeldonSprings,38.65643696,-90.73639403,8,79,4806,-90.73639403,38.65643696
4809,96.8,3.22,14.3,0.0023,0.724,561666855,561.666855,Pekin_Nat_150_F_Co,Pekin,150,Nat,F,Co,4809,0.0152,13.8,0.9787234043,0.00408,0.984,12801,1.2801,17.66538,1.25286383,1.04624,0.405365,Natural,Pekin,40.57469501,-89.65567603,12,101,4809,-89.65567603,40.57469501
4810,97,2.95,12.2,0.00228,1,569610640,569.61064,Keysport_Nat_197_M_Co,Keysport,197,Nat,M,Co,4810,0.0153,18.3,1.4296875,0.00666,0.517,11391,1.1391,20.84553,1.628557031,1.504869,0.159442,Natural,Keysport,38.732444,-89.277403,5,146,4810,-89.277403,38.732444
4813,97.5,2.55,12.8,0.00285,0.942,518594016,518.594016,Lawrence_Nat_101_F_Wa,Lawrence,101,Nat,F,Wa,4813,0.00554,25,1.748251748,0.00758,2.17,11098,1.1098,27.745,1.94020979,2.171054,0.350131,Natural,Lawrence,38.927036,-95.241462,17,117,4813,-95.241462,38.927036
4814,96.7,3.31,14.1,0.00265,0.835,528530158,528.530158,Jackson_Ag_20_F_Wa,Jackson,20,Ag,F,Wa,4814,1.00E-05,7.16,0.5868852459,0.00371,0.726,24627,2.4627,17.632932,1.445322295,1.095457,0.082737,Agricultural,Jackson,39.463458,-91.98047097,10,58,4814,-91.98047097,39.463458
4819,97.2,2.76,12.5,0.0032,0.858,530620247,530.620247,Pontiac_Nat_25_M_So,Pontiac,25,Nat,M,So,4819,0.0225,13.9,1.0859375,0.00518,0.332,11634,1.1634,16.17126,1.263379688,1.19192,0.354732,Natural,Pontiac,40.87326997,-88.62446599,13,60,4819,-88.62446599,40.87326997
