"sample","env","sex","lat","long","year","state","variable","value"
"HB0998","Dist","M",44.988422,-74.996022,1958,"Ontario","PPO210",0
"HB0997","Nat","F",42.847407,-79.555433,1988,"Ontario","PPO210",0
"HB0995","Nat","",44.951292,-75.483802,1960,"Ontario","PPO210",0
"HB0994","Nat","M",44.486839,-77.458612,1937,"Ontario","PPO210",0
"HB0992","Nat","F",45.046655,-76.230997,1949,"Ontario","PPO210",0
"HB0991","Nat","F",45.13414,-74.575361,1964,"Ontario","PPO210",0
"HB0990","Nat","M",41.683999,-82.682764,1998,"Ontario","PPO210",0
"HB0986","Nat","M",45.457179,-75.676253,1954,"Ontario","PPO210",0
"HB0985","Dist","F",45.19477,-75.78076,1955,"Ontario","PPO210",0
"HB0983","Ag","M",37.204167,-94.344167,1919,"Missouri","PPO210",0
"HB0982","Dist","F",37.923333,-89.893333,2011,"Illinois","PPO210",0
"HB0979","Nat","F",38.665567,-90.70705,2009,"Missouri","PPO210",0
"HB0976","Nat","F",40.720818,-89.597212,1962,"Illinois","PPO210",0
"HB0973","Ag","M",38.715451,-90.48898,1930,"Missouri","PPO210",0
"HB0972","Dist","M",38.495758,-90.217877,1927,"Illinois","PPO210",0
"HB0922","Ag","M",39.482726,-86.019624,1952,"Indiana","PPO210",0
"HB1011","Dist","M",41.864251,-88.103346,1894,"Illinois","PPO210",0
"HB1000","Dist","F",42.468738,-82.407807,1934,"Ontario","PPO210",0
"HB0918","Nat","M",41.03944444,-84.15694444,1991,"Ohio","PPO210",0
"HB1007","Nat","F",43.030996,-81.349254,1966,"Ontario","PPO210",0
"HB0936","Nat","",45.319337,-75.093578,1891,"Ontario","PPO210",0
"HB1004","Nat","",42.959472,-81.309866,1828,"Ontario","PPO210",0
"HB1003","Ag","F",43.455939,-80.290772,1961,"Ontario","PPO210",0
"HB0999","Nat","M",41.683999,-82.682764,1938,"Ontario","PPO210",0
"HB1005","Nat","M",42.980389,-81.344198,1828,"Ontario","PPO210",0
"HB0924","Nat","M",39.15556,-94.39333,1897,"Missouri","PPO210",0
"HB0923","Ag","F",39.43257,-87.380135,2007,"Indiana","PPO210",0
"HB0920","Ag","F",37.870283,-87.634147,1941,"Indiana","PPO210",0
"HB0921","Ag","",37.979365,-87.544518,1941,"Indiana","PPO210",0
"HB0945","Nat","F",44.485637,-79.99545,1988,"Ontario","PPO210",0
"HB0907","Dist","M",41.818787,-87.706608,1897,"Illinois","PPO210",0
"HB0989","Nat","F",41.93464,-82.505179,1988,"Ontario","PPO210",0
"HB1009","Nat","F",43.892294,-81.312444,1903,"Ontario","PPO210",0
"HB1006","Ag","M",43.455939,-80.290772,1961,"Ontario","PPO210",0
"HB0901","Nat","M",41.154318,-87.919365,1870,"Illinois","PPO210",0
"HB0981","Nat","M",38.911389,-91.592778,2010,"Missouri","PPO210",0
"HB0957","Nat","M",39.578464,-89.730027,1946,"Illinois","PPO210",0
"HB0911","Ag","F",39.127901,-89.860508,1947,"Illinois","PPO210",0
"HB0928","Ag","M",38.9365,-95.22391,1940,"Kansas","PPO210",0
"HB0971","Nat","M",38.595548,-90.767735,1927,"Missouri","PPO210",NA
"HB1001","Nat","M",43.352835,-80.316045,1939,"Ontario","PPO210",0
"HB1010","Dist","M",41.640523,-87.626446,1906,"Illinois","PPO210",0
"HB0969","Ag","F",38.603097,-90.257021,1912,"Missouri","PPO210",0
"HB0933","Dist","F",43.892294,-81.312444,1891,"Ontario","PPO210",0
"HB0908","Dist","M",40.114645,-87.875056,1952,"Illinois","PPO210",0
"HB0950","Ag","M",41.766065,-84.227971,2001,"Michigan","PPO210",0
"HB0993","Dist","M",42.957915,-82.393943,1960,"Ontario","PPO210",0
"HB0914","Ag","M",41.67333333,-84.32694444,1895,"Ohio","PPO210",0
"HB0910","Dist","M",42.481444,-88.157622,1948,"Illinois","PPO210",0
"HB0912","Ag","M",41.457917,-88.308444,2005,"Illinois","PPO210",0
"HB0951","Ag","F",42.979577,-82.470627,1909,"Michigan","PPO210",NA
"HB0988","Nat","M",43.035303,-79.897787,1951,"Ontario","PPO210",0
"HB0913","Ag","M",39.959059,-90.611708,2000,"Illinois","PPO210",0
"HB0954","Nat","",39.14757,-84.753428,1833,"Ohio","PPO210",0
"HB0931","Ag","F",39.70289,-95.30739,1981,"Kansas","PPO210",0
"HB0917","Ag","F",40.67861111,-84.51861111,1956,"Ohio","PPO210",0
"HB0902","Nat","M",40.900098,-90.991298,1875,"Illinois","PPO210",0
"HB0904","Dist","F",41.779452,-87.61641,1892,"Illinois","PPO210",0
"HB0916","Dist","F",39.82083333,-84.01944444,1955,"Ohio","PPO210",0
"HB0947","Nat","M",43.997787,-77.729332,1997,"Ontario","PPO210",0
"HB0961","Dist","M",40.061911,-88.105443,1949,"Illinois","PPO210",0
"HB0966","Nat","F",38.509011,-90.177817,1893,"Illinois","PPO210",0
"HB0903","Nat","F",41.823199,-88.174393,1897,"Illinois","PPO210",0
"HB0925","Ag","M",39.813187,-95.160615,1913,"Kansas","PPO210",0
"HB0943","Nat","F",43.174444,-79.375015,1991,"Ontario","PPO210",0
"HB0926","Ag","M",39.813187,-95.160615,1913,"Kansas","PPO210",0
"HB0927","Nat","M",39.000784,-95.626093,1949,"Kansas","PPO210",0
